	A549_CTL_rnaseq	A549_PIC_rnaseq
VAMP3	5409	904
VAMP2	980	7895
VAMP1	396	4972
VAC14-AS1	201	81
VAC14	1495	111
UXT-AS1	210	397
UXT	947	262
UXS1	2716	248
UVSSA	1152	361
UVRAG-DT	18	21
UVRAG	1373	154
UTY	229	153
UTS2B	15	10
UTS2	148	21
UTRN	4495	387
UTP6	4360	1501
UTP4	4967	910
UTP3	2065	5281
UTP25	3099	2656
UTP23	3545	1637
UTP20	8520	877
UTP18	5771	456
UTP15	3522	780
UTP14C	2110	546
UTP14A	4302	1197
UTP11	2529	796
UST-AS2	6	33
UST-AS1	20	0
UST	492	36
USPL1	1884	964
USP9Y	948	412
USP9X	15232	2873
USP8P1	9	61
USP8	7756	2366
USP7-AS1	0	10
USP7	11971	2114
USP6NL-AS1	15	3
USP6NL	1824	270
USP6	40	106
USP54	1453	259
USP53	2835	2481
USP51	180	71
USP50	1874	706
USP5	5461	1715
USP49	499	671
USP48	2710	447
USP47	5782	3104
USP46-DT	113	86
USP46	1789	159
USP45	1236	372
USP44	38	50
USP43	257	1622
USP42	1240	1004
USP41	0	23
USP40	2786	425
USP4	1255	122
USP39	5583	1558
USP38-DT	4	60
USP38	2098	976
USP37	2808	223
USP36	4096	2304
USP35	212	20
USP34-DT	3704	1467
USP34	11540	2621
USP33	2740	700
USP32P3	349	158
USP32P2	69	26
USP32P1	1303	370
USP32	5091	516
USP31	2560	310
USP30-AS1	10	12
USP30	556	512
USP3-AS1	2455	280
USP3	4131	427
USP28	1823	291
USP27X-DT	46	26
USP27X	286	182
USP25	3412	342
USP24	6475	848
USP22	17651	4049
USP21	565	2008
USP20	522	276
USP2-AS1	40	14
USP2	26	31
USP19	1284	1131
USP18	399	3587
USP17L7	0	10
USP17L2	0	48
USP16	3839	1236
USP15	4317	1010
USP14	8983	550
USP13	2515	163
USP12P1	16	0
USP12	3602	645
USP11	2490	2596
USP10	6610	918
USP1	6960	1127
USO1	6177	533
USHBP1	8	15
USH2A	2	16
USH1G	0	462
USH1C	185	28
USF3	1192	2766
USF2	2416	508
USF1	978	1333
USE1	155	322
USB1	2927	744
UROS	3075	269
UROD	789	778
URM1	1945	744
URI1	11010	462
URGCP-MRPS24	1245	462
URGCP	1695	524
URB2	2716	209
URB1-AS1	84	161
URB1	3500	423
URAHP	482	189
UQCRQ	1671	860
UQCRHL	107	44
UQCRH	3882	358
UQCRFS1P1	43	7
UQCRFS1-DT	6	33
UQCRFS1	10214	2571
UQCRC2	7246	1515
UQCRC1	2797	752
UQCRBP1	30	4
UQCRB-AS1	831	146
UQCRB	6268	4267
UQCR11	1095	144
UQCR10	1591	371
UQCC3	553	494
UQCC2	1909	600
UQCC1	2139	1118
UPRT	842	95
UPP1	1591	2422
UPK3BP1	14	6
UPK3BL3P	43	10
UPK3BL2	115	43
UPK3BL1	262	103
UPK3B	170	34
UPK2	132	37
UPK1B	293	30
UPK1A-AS1	0	16
UPK1A	4	40
UPF3B	2631	870
UPF3AP2	12	4
UPF3A	2899	617
UPF2	4840	797
UPF1	3686	1108
UOX	0	49
UNKL	2638	792
UNK	1885	1323
UNG	6028	200
UNCX	0	12
UNC93B1	1639	141
UNC80	0	56
UNC79	10	1
UNC5D	571	68
UNC5CL	105	41
UNC5C-AS1	0	10
UNC5C	113	50
UNC5B	14	78
UNC50	1435	1442
UNC45B	0	40
UNC45A	3725	973
UNC13D	398	245
UNC13B	2538	163
UNC13A	763	225
UNC119B	3114	2172
UNC119	657	1018
UMPS	3767	793
UMAD1	1212	97
ULK4P3	50	16
ULK4P2	44	2
ULK4P1	45	4
ULK4	149	100
ULK3	1519	1002
ULK2	2174	356
ULK1	858	1461
ULBP3	319	822
ULBP2	100	1397
ULBP1	140	189
UIMC1	2407	274
UHRF2	4765	1325
UHRF1BP1L-DT	0	44
UHRF1BP1L	3585	222
UHRF1BP1	2709	664
UHRF1	4816	222
UHMK1	13608	2946
UGT8	57	0
UGT2B7	60	19
UGT2B26P	6	38
UGT2B15	35	3
UGT2B11	10	2
UGT2B10	18	2
UGT2A3	18	2
UGT1A9	3828	166
UGT1A8	3324	98
UGT1A7	4386	122
UGT1A6	3495	111
UGT1A5	3324	100
UGT1A4	3360	99
UGT1A3	3327	98
UGT1A2P	33	2
UGT1A10	3444	99
UGT1A1	3607	110
UGP2	7677	685
UGGT2	1892	212
UGGT1	9774	386
UGDH-AS1	79	72
UGDH	39024	2212
UGCG	2411	2602
UFSP2	923	134
UFSP1	37	53
UFM1	4342	3283
UFL1-AS1	0	61
UFL1	2703	1401
UFD1-AS1	49	96
UFD1	2617	735
UFC1	2475	754
UEVLD	3360	827
UCP3	113	43
UCP2	1262	160
UCP1	1	20
UCN2	97	514
UCN	8	73
UCKL1-AS1	80	92
UCKL1	513	234
UCK2	5111	220
UCK1	1105	232
UCHL5	5694	365
UCHL3	1167	90
UCHL1	17086	23389
UCA1	0	36
UBXN8	1191	819
UBXN7-AS1	18	12
UBXN7	2249	649
UBXN6	742	337
UBXN4	9515	3906
UBXN2B	2977	404
UBXN2A	3490	305
UBXN11	894	972
UBXN1	1495	1927
UBTF	7823	1415
UBTD2	2021	180
UBTD1	175	27
UBR7	4782	430
UBR5-DT	598	247
UBR5	7917	1461
UBR4	13517	3048
UBR3	4470	371
UBR2	2258	652
UBR1	2038	457
UBQLN4P1	90	14
UBQLN4	2872	1289
UBQLN2	2794	3091
UBQLN1-AS1	219	917
UBQLN1	13719	3654
UBP1	7474	2012
UBOX5-AS1	34	28
UBOX5	384	356
UBN2	1669	2624
UBN1	4352	1276
UBLCP1	3256	751
UBL7-DT	104	672
UBL7	578	93
UBL5	1137	573
UBL4A	2108	226
UBL3	1880	310
UBIAD1	1363	300
UBFD1	5687	2543
UBE4B	2526	182
UBE4A	3968	1319
UBE3D	336	47
UBE3C	11403	420
UBE3B	1930	639
UBE3A	6637	771
UBE2Z	7852	7618
UBE2W	2025	348
UBE2V2	5990	482
UBE2V1P2	52	6
UBE2V1	7160	754
UBE2T	3186	402
UBE2SP2	23	16
UBE2SP1	28	26
UBE2S	5768	8501
UBE2R2-AS1	58	37
UBE2R2	5706	309
UBE2Q2P6	0	22
UBE2Q2P2	146	83
UBE2Q2P13	26	54
UBE2Q2P1	106	70
UBE2Q2L	6	12
UBE2Q2	4744	439
UBE2Q1-AS1	457	186
UBE2Q1	3772	1935
UBE2O	2717	671
UBE2N	6761	1386
UBE2MP1	85	40
UBE2M	3834	1347
UBE2L6	502	161
UBE2L5	1	25
UBE2L3	5544	886
UBE2K	6553	378
UBE2J2	1214	559
UBE2J1	3309	593
UBE2I	6078	3597
UBE2H-DT	175	42
UBE2H	5686	1060
UBE2G2	4638	1614
UBE2G1	6577	387
UBE2FP3	10	74
UBE2FP1	45	90
UBE2F-SCLY	1599	201
UBE2F	1101	138
UBE2E4P	44	0
UBE2E3	2336	99
UBE2E2	845	57
UBE2E1	5144	802
UBE2D4	745	62
UBE2D3P1	74	17
UBE2D3-AS1	193	152
UBE2D3	9106	2837
UBE2D2	6007	372
UBE2D1	1755	1060
UBE2C	2439	1291
UBE2B	2065	1199
UBE2A	7842	3198
UBD	16	104
UBC	36533	128247
UBBP4	16	4
UBB	20358	15830
UBASH3B	7047	405
UBASH3A	0	169
UBAP2L	8258	4097
UBAP2	4988	620
UBAP1L	184	430
UBAP1	2790	607
UBALD2	248	581
UBALD1	351	210
UBAC2-AS1	56	118
UBAC2	1859	78
UBAC1	1642	105
UBA7	8	24
UBA6-DT	425	150
UBA6	3920	517
UBA52P8	6	10
UBA52	5771	2845
UBA5	2814	730
UBA3	3016	727
UBA2	21274	2635
UBA1	11730	7041
UAP1L1	893	774
UAP1	1569	230
UACA	9371	1031
U8	165	12
U7	4	47
U6	1	16
U4	50	179
U3	0	144
U2SURP	13880	3672
U2AF2	12315	5241
U2AF1L4	386	963
U2AF1	580	592
U2	0	993
U1	0	173
TYW5	1351	2783
TYW3	2583	564
TYW1B	313	42
TYW1	2637	435
TYSND1	1362	1040
TYRP1	4	22
TYRO3P	0	19
TYRO3	712	99
TYMSOS	299	36
TYMS	8895	503
TYMP	149	446
TYK2	1173	901
TXNRD3	497	62
TXNRD2	912	292
TXNRD1	133985	3761
TXNP6	1	19
TXNP4	68	1
TXNL4B	1681	1487
TXNL4A	2249	200
TXNL1	4150	683
TXNIP	33	2388
TXNDC9	2745	309
TXNDC5	10889	760
TXNDC17	2627	2078
TXNDC16	248	45
TXNDC15	3028	124
TXNDC12-AS1	2	11
TXNDC12	3387	478
TXNDC11	1539	192
TXN2	1332	226
TXN	18510	805
TXLNGY	1822	700
TXLNG	3694	1111
TXLNA	4345	1990
TXK	17	31
TWSG1	4012	393
TWNK	2367	1029
TWIST2	240	64
TWIST1	84	171
TWF2-DT	12	7
TWF2	1048	46
TWF1P1	292	89
TWF1	13254	4680
TVP23C-CDRT4	543	46
TVP23C	439	85
TVP23B	4296	1704
TVP23A	785	175
TUT7	2672	1654
TUT4	2603	339
TUT1	514	910
TUSC3	3143	92
TUSC2	806	597
TUSC1	113	93
TULP4	1535	71
TULP3	1708	151
TULP2	0	2633
TUG1	11278	16796
TUFT1	1324	1887
TUFMP1	11	4
TUFM	7473	2077
TUBGCP6	581	1062
TUBGCP5	4127	436
TUBGCP4	2137	781
TUBGCP3	2346	108
TUBGCP2	3294	2312
TUBG2	732	607
TUBG1P	3	26
TUBG1	3698	327
TUBE1	597	404
TUBD1	814	98
TUBBP1	213	8
TUBB6	5892	604
TUBB4B	16868	19168
TUBB4A	317	107
TUBB3	7383	1705
TUBB2BP1	73	250
TUBB2B	201	761
TUBB2A	768	2913
TUBB1	106	247
TUBB	65976	5293
TUBAP2	39	3
TUBAL3	10	0
TUBA8	10	59
TUBA5P	34	180
TUBA4B	7	21
TUBA4A	6374	1200
TUBA3FP	18	15
TUBA3D	41	0
TUBA1C	28918	12121
TUBA1B	61333	5085
TUBA1A	8741	3546
TUB	2085	169
TTYH3	2119	121
TTYH2	189	45
TTYH1	7	64
TTTY14	0	12
TTTY10	0	12
TTR	18	0
TTPAL	2878	1586
TTPA	133	20
TTN-AS1	434	347
TTN	919	1065
TTLL9	25	176
TTLL7	671	58
TTLL6	148	68
TTLL5	1990	158
TTLL4	1792	178
TTLL3	485	404
TTLL13	41	88
TTLL12	1841	88
TTLL11	140	75
TTLL1-AS1	17	0
TTLL1	70	2
TTL	4894	384
TTK	3701	392
TTI2	2491	889
TTI1	2826	302
TTF2	4260	318
TTF1	1561	482
TTC9C	733	518
TTC9B	4	4321
TTC9	384	31
TTC8	1929	192
TTC7B	657	39
TTC7A	2670	347
TTC6	67	179
TTC5	1472	140
TTC41P	68	21
TTC4	1587	378
TTC3P1	175	135
TTC39C-AS1	1	43
TTC39C	580	108
TTC39B	320	229
TTC39A	230	39
TTC38	510	432
TTC37	7821	657
TTC36-AS1	114	29
TTC36	0	11
TTC34	2	22
TTC33	1341	914
TTC32-DT	7	326
TTC32	620	3104
TTC31	1162	587
TTC30B	419	449
TTC30A	724	320
TTC3-AS1	336	37
TTC3	7810	385
TTC28-AS1	515	326
TTC28	1244	96
TTC27	2867	259
TTC26	1445	461
TTC24	2	95
TTC23L-AS1	29	119
TTC23L	15	109
TTC23	1186	537
TTC21B-AS1	76	21
TTC21B	1370	567
TTC21A	105	252
TTC19	4946	1476
TTC17	4589	720
TTC14	2937	1493
TTC13	1752	106
TTC12	523	98
TTC1	4205	327
TTBK2-AS1	278	80
TTBK2	904	235
TSTD3	1037	544
TSTD2	1494	954
TSTD1	4	74
TST	691	233
TSSK6	8	91
TSSK5P	79	142
TSSK4	150	390
TSSK3	74	346
TSSK2	72	34
TSSK1A	2	15
TSSC4	690	1092
TSR3	960	121
TSR2	2595	937
TSR1	13743	2509
TSPYL6	0	61
TSPYL5	1349	1584
TSPYL4	485	2662
TSPYL2	595	10165
TSPYL1	2882	2371
TSPY26P	26	39
TSPOAP1-AS1	1228	295
TSPOAP1	0	12
TSPO	399	22
TSPEAR-AS2	23	46
TSPEAR-AS1	29	18
TSPEAR	16	54
TSPAN9	552	30
TSPAN8	94	4
TSPAN7	294	4
TSPAN6	2767	211
TSPAN5-DT	6	68
TSPAN5	965	123
TSPAN4	1666	424
TSPAN33	178	6
TSPAN31	4077	1746
TSPAN3	14003	1045
TSPAN2	16	12
TSPAN19	8	203
TSPAN18	98	5
TSPAN17	2472	172
TSPAN15	2469	245
TSPAN14-AS1	29	16
TSPAN14	9131	615
TSPAN13	1819	398
TSPAN12	46	24
TSPAN11	12	0
TSPAN10	62	34
TSPAN1	38	6
TSNAXIP1	291	246
TSNAX-DISC1	1378	200
TSNAX	5431	701
TSNARE1	94	4
TSN	6957	1092
TSLP	0	26
TSKU-AS1	38	200
TSKU	5806	1041
TSIX	14	10
TSHZ3	239	76
TSHZ1	706	74
TSGA13	37	10
TSGA10	144	136
TSG101	3383	601
TSFM	1711	363
TSEN54	742	113
TSEN34	1447	383
TSEN2	1330	200
TSEN15	2827	408
TSC22D4	526	446
TSC22D3	606	3123
TSC22D2	1433	2371
TSC22D1-AS1	92	133
TSC22D1	4249	11689
TSC2	1586	713
TSC1	2171	1602
TSBP1-AS1	0	44
TSBP1	0	35
TSACC	76	44
TRUB2	2166	302
TRUB1	5218	549
TRRAP	7081	1183
TRPV6	4	11
TRPV5	0	10
TRPV3	22	28
TRPV2	8	22
TRPV1	584	529
TRPT1	163	86
TRPS1	16	20
TRPM8	8	28
TRPM7	7684	1255
TRPM6	525	87
TRPM4	339	212
TRPM2	215	36
TRPC7-AS1	1	12
TRPC6	438	45
TRPC5	10	6
TRPC4AP	4324	692
TRPC4	0	17
TRPC2	0	19
TRPC1	1258	307
TRPA1	575	663
TROAP-AS1	119	117
TROAP	1168	497
TRO	24	16
TRNT1	3814	4089
TRNP1	5254	1587
TRNAU1AP	341	187
TRMU	1703	547
TRMT9B	12	3
TRMT61B	1349	363
TRMT61A-DT	45	138
TRMT61A	547	438
TRMT6	3656	1419
TRMT5	2002	2453
TRMT44	452	207
TRMT2B	1816	109
TRMT2A	623	292
TRMT1L	2648	478
TRMT13	1167	797
TRMT12	450	659
TRMT112P6	15	11
TRMT112	3064	1135
TRMT11	1390	387
TRMT10C	3386	2792
TRMT10B	713	870
TRMT10A	632	159
TRMT1	784	2117
TRMO	537	487
TRIT1	1073	368
TRIR	2701	597
TRIQK	1194	53
TRIP6	1516	570
TRIP4	1684	337
TRIP13	6453	1492
TRIP12	15664	1967
TRIP11	3715	1406
TRIP10	1845	742
TRIOBP	2150	235
TRIO	8651	1013
TRIML2	3951	3234
TRIM9	834	142
TRIM8-DT	69	164
TRIM8	949	752
TRIM74	12	11
TRIM73	6	79
TRIM72	2	93
TRIM71	0	29
TRIM7-AS2	52	16
TRIM7-AS1	56	10
TRIM7	432	46
TRIM69	429	2989
TRIM68	813	505
TRIM67	191	194
TRIM66	544	185
TRIM65	2027	183
TRIM62	84	12
TRIM6-TRIM34	1089	190
TRIM6	2340	310
TRIM59	8426	3881
TRIM56	4542	7315
TRIM54	5	17
TRIM52-AS1	170	81
TRIM52	1315	3963
TRIM5	1606	1360
TRIM47	1880	529
TRIM46	37	21
TRIM45	260	212
TRIM44	9989	3603
TRIM43CP	0	20
TRIM43	0	12
TRIM41	1375	1891
TRIM4	2195	1060
TRIM39-RPP21	395	317
TRIM39	560	518
TRIM38	1196	1219
TRIM37	4379	501
TRIM36	46	128
TRIM35	1195	282
TRIM34	444	134
TRIM33	3561	321
TRIM32	1398	232
TRIM31-AS1	5	43
TRIM31	32	160
TRIM3	601	386
TRIM29	215	76
TRIM28	17841	21979
TRIM27	2488	1102
TRIM26	2144	5549
TRIM25	7334	8399
TRIM24	2851	678
TRIM23	1314	521
TRIM22	92	93
TRIM21	715	1471
TRIM2	250	25
TRIM17	12	14
TRIM16L	10500	440
TRIM16	13150	587
TRIM15	2	13
TRIM14	2280	3430
TRIM13	1013	1038
TRIM11	1046	792
TRIM10	4	18
TRIB3	2195	175
TRIB2	15	82
TRIB1	1352	9524
TRIAP1	2526	1349
TRHDE-AS1	12	22
TRHDE	22	0
TREX2	659	105
TREX1	185	224
TRERF1	1378	995
TREH	187	23
TRDMT1	630	59
TRBV20OR9-2	86	70
TRARG1	0	14
TRAPPC9	870	132
TRAPPC8	2766	453
TRAPPC6B	1522	1223
TRAPPC6A	276	16
TRAPPC5	166	243
TRAPPC4	1359	420
TRAPPC3L	0	42
TRAPPC3	1931	739
TRAPPC2L	1166	511
TRAPPC2B	149	150
TRAPPC2	681	532
TRAPPC14	316	1015
TRAPPC13	1655	607
TRAPPC12-AS1	105	34
TRAPPC12	1449	352
TRAPPC11	2107	806
TRAPPC10	1560	173
TRAPPC1	2270	373
TRAP1	6864	622
TRANK1	347	3323
TRAM2-AS1	299	340
TRAM2	4952	492
TRAM1L1	60	55
TRAM1	99679	2147
TRAK2	3112	271
TRAK1	1944	142
TRAIP	638	108
TRAFD1	1596	1202
TRAF7	2717	536
TRAF6	1101	744
TRAF5	1175	104
TRAF4	1766	993
TRAF3IP3	132	326
TRAF3IP2-AS1	143	80
TRAF3IP2	434	151
TRAF3IP1	1964	99
TRAF3	3224	361
TRAF2	1433	182
TRAF1	245	1352
TRADD	209	75
TRABD2A	640	373
TRABD-AS1	171	106
TRABD	820	335
TRA2B	11374	8373
TRA2A	4206	4083
TPX2	14861	598
TPTEP2-CSNK1E	982	269
TPTEP2	75	37
TPTE2P6	20	33
TPTE2P5	113	27
TPTE2P1	26	24
TPT1-AS1	382	191
TPT1	40661	8202
TPST2	259	49
TPST1	424	53
TPSP2	0	11
TPSG1	20	0
TPRXL	0	39
TPRN	289	466
TPRKB	2156	600
TPRG1L	1211	262
TPRG1-AS1	18	14
TPRG1	25	16
TPRA1	665	501
TPR	14440	3848
TPPP3	270	54
TPPP	538	110
TPP2	3626	826
TPP1	3444	2952
TPMT	1339	250
TPM4	34925	3062
TPM3P9	1157	237
TPM3P6	29	1
TPM3P5	19	1
TPM3	28932	2721
TPM2	8631	2388
TPM1-AS	275	648
TPM1	21518	8394
TPK1	156	73
TPI1P2	40	310
TPI1P1	343	15
TPI1	23718	1739
TPH1	12	28
TPGS2	3295	124
TPGS1	86	25
TPD52L2	5116	841
TPD52L1	1419	66
TPD52	7785	178
TPCN2	501	97
TPCN1	2441	207
TPBGL-AS1	2	28
TPBG	1418	1898
TP73-AS1	651	285
TP73	35	37
TP63	197	118
TP53TG5	24	35
TP53TG3D	15	223
TP53TG3	14	40
TP53TG1	192	85
TP53RK-DT	0	20
TP53RK	1258	1180
TP53INP2	199	338
TP53INP1	444	399
TP53I3	3214	1748
TP53I13	735	572
TP53I11	2458	179
TP53BP2	2813	1259
TP53BP1	4210	1021
TP53	3248	4290
TOX4	3608	1882
TOX3	134	45
TOX2	176	1
TOX-DT	29	7
TOX	95	68
TOR4A	1044	103
TOR3A	3545	294
TOR2A	195	68
TOR1B	1507	635
TOR1AIP2	4159	1518
TOR1AIP1	4864	1154
TOR1A	2599	644
TOPORS	2935	1721
TOPBP1	7425	603
TOP3B	621	357
TOP3A	3543	628
TOP2B	14283	1491
TOP2A	56725	6194
TOP1P1	22	2
TOP1MT	1203	206
TOP1	10312	2615
TONSL-AS1	83	35
TONSL	952	386
TOMT	26	25
TOMM70	10270	1245
TOMM7	1284	359
TOMM6	2226	548
TOMM5	5110	732
TOMM40P4	54	0
TOMM40P2	57	20
TOMM40P1	68	6
TOMM40L	719	32
TOMM40	7173	1305
TOMM34	1756	824
TOMM22	3082	243
TOMM20P4	91	0
TOMM20L	128	39
TOMM20	16601	1592
TOM1L2	1260	153
TOM1L1	4343	604
TOM1	404	114
TOLLIP-DT	0	52
TOLLIP	1536	365
TOGARAM2	3	22
TOGARAM1	1589	570
TOE1	630	126
TOB2P1	21	93
TOB2	1452	2827
TOB1-AS1	16	203
TOB1	2494	19700
TNXB	13	361
TNXA	0	353
TNS4	5795	884
TNS3	22119	768
TNS2-AS1	6463	1477
TNS2	767	206
TNS1-AS1	2	42
TNS1	443	34
TNRC6C	510	195
TNRC6B	1493	385
TNRC6A	6771	1020
TNRC18P1	2	24
TNRC18	2591	639
TNPO3	7241	627
TNPO2	2849	2452
TNPO1P3	56	3
TNPO1	31996	2250
TNNT2	11	4
TNNT1	969	113
TNNI3	47	52
TNNI1	0	18
TNNC2	3	24
TNNC1	51	10
TNN	2	28
TNMD	0	10
TNKS2-DT	7	21
TNKS2	5650	1341
TNKS1BP1	3881	3725
TNKS	3423	966
TNK2-AS1	13	12
TNK2	513	86
TNK1	125	71
TNIP3	21	13
TNIP2	993	1561
TNIP1	3320	3196
TNIK	321	30
TNFSF9	399	2188
TNFSF8	3	31
TNFSF15	626	1126
TNFSF14	10	534
TNFSF13B	10	51
TNFSF13	143	256
TNFSF12-TNFSF13	179	200
TNFSF12	149	57
TNFSF10	8	63
TNFRSF9	138	1519
TNFRSF6B	6	50
TNFRSF25	30	12
TNFRSF21	2892	613
TNFRSF1B	26	58
TNFRSF1A	9629	775
TNFRSF19	50	50
TNFRSF13C	30	10
TNFRSF12A	3702	5964
TNFRSF11B	12	12
TNFRSF11A	1075	226
TNFRSF10D	1937	7466
TNFRSF10C	34	19
TNFRSF10B	11739	22021
TNFRSF10A-DT	254	253
TNFRSF10A-AS1	547	207
TNFRSF10A	2382	591
TNFAIP8L3	58	13
TNFAIP8L1	219	18
TNFAIP8	1480	423
TNFAIP6	33	423
TNFAIP3	529	43971
TNFAIP2	14552	49840
TNFAIP1	3765	2585
TNF	0	1090
TNC	1182	378
TMX4-AS1	43	6
TMX4	4525	403
TMX3	5156	1411
TMX2P1	319	134
TMX2	7200	1158
TMX1	11815	585
TMUB2	1186	592
TMUB1	446	125
TMTC4	798	219
TMTC3	6640	494
TMTC2	712	125
TMSB4Y	30	27
TMSB4XP8	381	57
TMSB4XP6	75	8
TMSB4XP4	50	6
TMSB4XP3	4	150
TMSB4XP2	6	38
TMSB4X	35426	5528
TMSB15B-AS1	21	21
TMSB15B	27	8
TMSB15A	11	2
TMSB10	23776	12969
TMPRSS9	44	204
TMPRSS6	11	18
TMPRSS5	12	1
TMPRSS2	0	15
TMPRSS13	0	12
TMPPE	177	69
TMPOP2	43	151
TMPO-AS1	1546	444
TMPO	23718	811
TMOD4	9	135
TMOD3	24259	1229
TMOD2	549	66
TMOD1	745	522
TMLHE-AS1	4	16
TMLHE	558	80
TMIGD1	4	20
TMF1	3861	581
TMEM9B-AS1	309	266
TMEM9B	2421	451
TMEM98	958	44
TMEM97	8200	975
TMEM95	0	28
TMEM94	1471	295
TMEM92-AS1	13	9
TMEM92	233	21
TMEM91	222	190
TMEM9	1677	98
TMEM8B	135	59
TMEM88	4	967
TMEM87B	2491	239
TMEM87A	2447	422
TMEM86B	36	74
TMEM86A	4	101
TMEM81	118	123
TMEM80	419	515
TMEM79	524	128
TMEM74B	82	82
TMEM74	17	254
TMEM70	2628	652
TMEM69	924	1755
TMEM68	1605	265
TMEM67	668	262
TMEM65	3447	292
TMEM64	4462	407
TMEM63C	198	103
TMEM63B	946	1796
TMEM63A	514	93
TMEM62	848	422
TMEM60	899	887
TMEM59	3814	634
TMEM54	194	51
TMEM53	526	143
TMEM52B	0	109
TMEM51-AS2	0	45
TMEM51-AS1	58	113
TMEM51	1038	256
TMEM50B	1724	846
TMEM50A	3646	859
TMEM47	849	1561
TMEM45B	18	4
TMEM45A	56	6
TMEM44-AS2	256	87
TMEM44-AS1	151	458
TMEM44	454	284
TMEM43	3593	1206
TMEM42	263	271
TMEM41B	4349	353
TMEM41A	1350	223
TMEM40	6	44
TMEM39B	217	83
TMEM39A	1540	697
TMEM38B	2320	206
TMEM38A	62	14
TMEM37	198	5
TMEM35B	306	211
TMEM33	4951	421
TMEM30B	24	41
TMEM30A-DT	225	243
TMEM30A	9539	2065
TMEM269	78	24
TMEM268	1192	129
TMEM267	1517	498
TMEM266	48	23
TMEM265	334	1180
TMEM263-DT	38	161
TMEM263	3559	708
TMEM262	547	250
TMEM260	956	539
TMEM259	1717	1447
TMEM258	905	332
TMEM256-PLSCR3	526	63
TMEM256	229	14
TMEM254-AS1	44	23
TMEM254	748	536
TMEM253	55	41
TMEM251	822	804
TMEM250	1251	183
TMEM25	14	30
TMEM249	12	184
TMEM248	7700	947
TMEM246-AS1	70	7
TMEM245	11512	993
TMEM243	820	457
TMEM242	841	178
TMEM241	374	34
TMEM240	2	19
TMEM239	0	785
TMEM238	8	14
TMEM237	2002	248
TMEM236	24	74
TMEM234	167	100
TMEM233	26	72
TMEM232	3	25
TMEM231P1	11	9
TMEM231	461	145
TMEM230	5379	573
TMEM229B	12	1
TMEM225B	47	13
TMEM223	725	224
TMEM222	666	350
TMEM221	13	20
TMEM220-AS1	17	4
TMEM220	228	332
TMEM219	792	1362
TMEM218	737	324
TMEM217B	20	9
TMEM217	26	34
TMEM216	279	115
TMEM215	40	0
TMEM214	2535	332
TMEM213	55	12
TMEM212-AS1	0	14
TMEM209	2315	339
TMEM208	500	126
TMEM205	1035	486
TMEM204	14	3
TMEM203	1055	356
TMEM202-AS1	304	239
TMEM201	835	49
TMEM200C	0	48
TMEM200B	145	183
TMEM199	1671	307
TMEM198B	149	338
TMEM198	9	25
TMEM192	2235	217
TMEM191C	2	12
TMEM191A	29	29
TMEM190	20	203
TMEM19	2379	114
TMEM187	77	22
TMEM186	415	385
TMEM185B	3155	2062
TMEM185AP1	1	13
TMEM185A	714	283
TMEM184C	2784	852
TMEM184B	1375	118
TMEM184A	1789	3606
TMEM183BP	175	56
TMEM183A	2779	2064
TMEM182	506	14
TMEM181	3155	370
TMEM18-DT	46	120
TMEM18	1670	2293
TMEM179B	757	157
TMEM179	16	0
TMEM178B	253	4
TMEM178A	4	37
TMEM177	512	219
TMEM175	142	222
TMEM171	44	20
TMEM170B	807	63
TMEM170A	1973	561
TMEM17	417	100
TMEM169	129	126
TMEM168	1946	250
TMEM167B-DT	104	188
TMEM167B	1097	1317
TMEM167A	6833	2895
TMEM165	3592	5310
TMEM164	3890	243
TMEM161B-DT	597	914
TMEM161B	2270	642
TMEM161A	250	68
TMEM160	157	2
TMEM158	84	140
TMEM156	1676	486
TMEM154	28	8
TMEM151B	38	16
TMEM151A	30	26
TMEM150C	104	16
TMEM150A	119	425
TMEM14C	3444	194
TMEM14B-DT	18	56
TMEM14B	4229	427
TMEM14A	1182	121
TMEM147-AS1	1587	2610
TMEM147	2714	679
TMEM145	66	217
TMEM144	941	97
TMEM143	193	30
TMEM141	522	60
TMEM140	1489	896
TMEM139-AS1	33	75
TMEM139	57	111
TMEM138	1945	612
TMEM135	2009	172
TMEM134	216	316
TMEM132A	1680	681
TMEM131L	673	49
TMEM131	3945	221
TMEM130	17	20
TMEM129	609	426
TMEM128	576	837
TMEM127	3387	265
TMEM126B	2208	1102
TMEM126A	1126	308
TMEM123-DT	19	111
TMEM123	24504	4611
TMEM121B	10	7
TMEM121	51	2
TMEM120B	3399	886
TMEM120A	459	104
TMEM119	0	10
TMEM117	196	8
TMEM116	293	715
TMEM115	830	823
TMEM11-DT	63	51
TMEM11	1767	324
TMEM109-DT	14	18
TMEM109	2972	240
TMEM107	280	1784
TMEM106C	4040	366
TMEM106B	10596	1318
TMEM106A	81	136
TMEM105	20	11
TMEM104	1032	80
TMEM102	291	44
TMEM101	736	260
TMEM100	0	48
TMEFF2	29	10
TMEFF1	375	82
TMED9	4625	633
TMED8	4110	484
TMED7-TICAM2	2132	290
TMED7	11129	788
TMED6	73	83
TMED5	6721	1039
TMED4	3510	1677
TMED3	5412	303
TMED2-DT	703	542
TMED2	20931	3487
TMED10P1	62	15
TMED10	12284	916
TMED1	589	80
TMCO6	213	481
TMCO4	357	18
TMCO3	2884	293
TMCO1-AS1	22	173
